iter	Passed	Remaining
217	335	1202
218	336	1200
219	338	1198
220	339	1197
221	340	1194
222	342	1192
223	344	1191
224	345	1189
225	346	1187
226	348	1186
227	350	1185
228	351	1183
229	353	1182
230	354	1180
231	356	1179
232	358	1179
233	360	1178
234	361	1177
235	363	1175
236	364	1173
237	365	1171
238	367	1169
239	368	1168
240	370	1166
241	372	1166
242	373	1164
243	375	1163
244	376	1161
245	378	1159
246	379	1156
247	381	1155
248	382	1154
249	384	1152
250	385	1150
251	387	1149
252	388	1147
253	390	1145
254	391	1144
255	393	1142
256	394	1140
257	396	1139
258	397	1137
259	398	1135
260	400	1133
261	402	1132
262	403	1131
263	404	1128
264	406	1126
265	407	1125
266	409	1124
267	410	1122
268	412	1120
269	413	1118
270	415	1117
271	416	1115
272	418	1114
273	419	1112
274	421	1110
275	422	1108
276	424	1107
277	425	1104
278	426	1103
279	428	1101
280	430	1100
281	431	1099
282	433	1097
283	434	1095
284	435	1093
285	437	1092
286	439	1090
287	440	1089
288	442	1087
289	443	1086
290	445	1086
291	447	1085
292	449	1083
293	450	1081
294	452	1080
295	453	1079
296	459	1087
297	460	1085
298	462	1083
299	463	1081
300	464	1079
301	466	1078
302	467	1076
303	469	1075
304	471	1073
305	472	1071
306	474	1070
307	476	1069
308	477	1068
309	478	1066
310	480	1064
311	481	1062
312	483	1060
313	484	1059
314	486	1058
315	488	1056
316	489	1055
317	491	1054
318	493	1052
319	494	1051
320	496	1049
321	497	1047
322	499	1046
323	500	1045
324	502	1043
325	504	1042
326	505	1040
327	507	1039
328	509	1038
329	510	1036
330	511	1034
331	513	1033
332	515	1031
333	516	1029
334	518	1028
335	520	1027
336	521	1026
337	522	1024
338	524	1022
339	526	1021
340	527	1019
341	529	1017
342	530	1016
343	532	1014
344	533	1013
345	535	1012
346	536	1010
347	538	1008
348	539	1006
349	540	1004
350	542	1002
351	543	1000
352	545	999
353	546	998
354	548	996
355	550	995
356	551	993
357	553	991
358	554	990
359	555	988
360	557	986
361	559	985
362	560	984
363	562	982
364	564	981
365	565	980
366	567	978
367	568	976
368	570	975
369	571	973
370	573	972
371	574	970
372	577	970
373	579	969
374	580	967
375	582	966
376	583	963
377	584	962
378	586	960
379	587	958
380	589	957
381	590	955
382	592	953
383	593	952
384	595	950
385	596	949
386	598	947
387	599	945
388	600	943
389	602	942
390	603	940
391	605	939
392	606	937
393	608	935
394	610	934
395	611	932
396	613	931
397	614	929
398	615	927
399	617	926
400	618	924
401	620	922
402	622	921
403	623	920
404	625	918
405	626	916
406	628	915
407	629	913
408	630	911
409	632	910
410	634	909
411	635	907
412	637	905
413	638	904
414	640	902
415	641	900
416	643	899
417	644	897
418	646	896
419	647	894
420	649	893
421	651	891
422	652	890
423	653	888
424	655	886
425	656	885
426	658	883
427	659	881
428	661	880
429	662	878
430	664	877
431	666	876
432	667	874
433	669	873
434	670	871
435	672	869
436	673	868
437	675	866
438	676	864
439	678	863
440	684	867
441	685	865
442	687	864
443	688	862
444	690	860
445	691	859
446	693	857
447	695	856
448	696	854
449	698	853
450	699	851
451	701	850
452	702	848
453	704	846
454	705	845
455	707	843
456	708	842
457	710	840
458	712	839
459	713	837
460	715	836
461	717	835
462	718	833
463	720	832
464	722	830
465	724	829
466	725	828
467	727	826
468	728	825
469	730	823
470	731	821
471	733	820
472	735	818
473	736	817
474	738	816
475	740	815
476	741	813
477	743	811
478	745	810
479	746	808
480	748	807
481	749	805
482	751	804
483	752	802
484	754	801
485	756	799
486	757	798
487	759	796
488	760	794
489	762	793
490	763	791
491	765	790
492	766	788
493	768	787
494	770	785
495	771	784
496	773	782
497	774	781
498	776	779
499	777	777
500	779	776
501	781	774
502	782	773
503	784	771
504	785	770
505	787	768
506	789	767
507	790	765
508	791	763
509	793	762
510	794	760
511	796	759
512	798	758
513	800	756
514	801	754
515	802	753
516	804	751
517	805	749
518	807	748
519	808	746
520	809	744
521	811	743
522	813	742
523	815	740
524	817	739
525	818	737
526	819	735
527	821	734
528	822	732
529	824	730
530	827	730
531	828	729
532	830	727
533	831	725
534	833	724
535	834	722
536	835	720
537	837	719
538	838	717
539	840	716
540	842	714
541	844	713
542	845	711
543	847	710
544	849	708
545	850	707
546	852	705
547	853	704
548	855	702
549	857	701
550	859	700
551	860	698
552	862	697
553	864	695
554	865	694
555	867	692
556	868	690
557	870	689
558	872	688
559	874	686
560	875	685
561	877	683
562	879	682
563	880	680
564	882	679
565	884	678
566	886	676
567	888	675
568	889	674
569	891	672
570	893	671
571	895	670
572	897	668
573	898	667
574	900	665
575	902	664
576	904	662
577	905	661
578	907	659
579	908	658
580	910	656
581	912	655
582	913	653
583	915	652
584	917	650
585	918	649
586	920	647
587	921	645
588	923	644
589	924	642
590	926	641
591	928	639
592	929	638
593	931	636
594	933	635
595	934	633
596	936	632
597	938	630
598	940	629
599	941	627
600	943	626
601	945	624
602	946	623
603	948	621
604	950	620
605	952	618
606	953	617
607	955	615
608	956	614
609	958	612
610	961	611
611	962	610
612	964	608
613	966	607
614	967	605
615	969	604
616	971	602
617	973	601
618	975	600
619	976	598
620	978	597
621	980	595
622	981	593
623	983	592
624	984	590
625	986	589
626	988	588
627	990	586
628	992	585
629	993	583
630	997	583
631	999	581
632	1000	580
633	1002	578
634	1004	577
635	1005	575
636	1007	574
637	1008	572
638	1010	570
639	1012	569
640	1013	567
641	1015	566
642	1017	564
643	1018	563
644	1020	561
645	1022	560
646	1023	558
647	1025	557
648	1027	555
649	1028	553
650	1030	552
651	1031	550
652	1033	549
653	1035	547
654	1036	546
655	1038	544
656	1039	542
657	1041	541
658	1043	539
659	1044	538
660	1046	536
661	1047	535
662	1049	533
663	1051	531
664	1052	530
665	1053	528
666	1055	526
667	1057	525
668	1059	524
669	1061	522
670	1063	521
671	1065	520
672	1067	518
673	1068	517
674	1070	515
675	1073	514
676	1075	513
677	1077	511
678	1079	510
679	1081	508
680	1082	507
681	1084	505
682	1086	504
683	1088	502
684	1090	501
685	1091	499
686	1093	498
687	1095	496
688	1096	494
689	1097	493
690	1099	491
691	1100	489
692	1103	488
693	1105	487
694	1107	485
695	1108	484
696	1110	482
697	1111	480
698	1113	479
699	1114	477
700	1116	476
701	1117	474
702	1119	473
703	1121	471
704	1122	469
705	1124	468
706	1126	466
707	1127	465
708	1129	463
709	1131	462
710	1133	460
711	1134	459
712	1136	457
713	1138	455
714	1139	454
715	1142	452
716	1143	451
717	1145	449
718	1146	448
719	1148	446
720	1150	445
721	1152	443
722	1153	442
723	1155	440
724	1156	438
725	1158	437
726	1160	435
727	1162	434
728	1164	432
729	1165	431
730	1167	429
731	1169	428
732	1171	426
733	1172	424
734	1173	423
735	1175	421
736	1177	420
737	1178	418
738	1180	416
739	1182	415
740	1184	413
741	1185	412
742	1186	410
743	1188	408
744	1190	407
745	1191	405
746	1193	404
747	1195	402
748	1197	401
749	1198	399
750	1200	397
751	1201	396
752	1203	394
753	1204	393
754	1206	391
755	1208	389
756	1209	388
757	1211	386
758	1213	385
759	1215	383
760	1216	382
761	1218	380
762	1220	379
763	1222	377
764	1223	375
765	1225	374
766	1226	372
767	1228	371
768	1230	369
769	1232	368
770	1233	366
771	1235	364
772	1237	363
773	1238	361
774	1240	360
775	1242	358
776	1243	356
777	1244	355
778	1246	353
779	1248	352
780	1250	350
781	1252	349
782	1254	347
783	1255	345
784	1257	344
785	1258	342
786	1260	341
787	1261	339
788	1263	337
789	1266	336
790	1268	335
791	1269	333
792	1271	331
793	1272	330
794	1274	328
795	1276	327
796	1277	325
797	1279	323
798	1281	322
799	1282	320
800	1284	319
801	1285	317
802	1287	315
803	1288	314
804	1290	312
805	1292	310
806	1293	309
807	1295	307
808	1296	306
809	1298	304
810	1300	303
811	1301	301
812	1303	299
813	1305	298
814	1306	296
815	1308	294
816	1309	293
817	1311	291
818	1312	290
819	1314	288
820	1316	286
821	1317	285
822	1319	283
823	1320	282
824	1322	280
825	1323	278
826	1325	277
827	1326	275
828	1328	273
829	1329	272
830	1330	270
831	1332	269
832	1334	267
833	1335	265
834	1337	264
835	1338	262
836	1340	260
837	1341	259
838	1343	257
839	1344	256
840	1345	254
841	1347	252
842	1348	251
843	1350	249
844	1351	247
845	1352	246
846	1354	244
847	1356	243
848	1357	241
849	1359	239
850	1360	238
851	1362	236
852	1363	234
853	1364	233
854	1367	231
855	1369	230
856	1370	228
857	1372	227
858	1373	225
859	1375	223
860	1376	222
861	1378	220
862	1379	219
863	1381	217
864	1382	215
865	1384	214
866	1386	212
867	1387	211
868	1388	209
869	1390	207
870	1392	206
871	1393	204
872	1394	202
873	1396	201
874	1397	199
875	1399	198
876	1400	196
877	1402	194
878	1403	193
879	1405	191
880	1406	190
881	1408	188
882	1409	186
883	1411	185
884	1412	183
885	1414	181
886	1415	180
887	1416	178
888	1418	177
889	1420	175
890	1421	173
891	1423	172
892	1424	170
893	1425	169
894	1427	167
895	1429	165
896	1430	164
897	1431	162
898	1433	161
899	1434	159
900	1436	157
901	1437	156
902	1439	154
903	1440	152
904	1442	151
905	1444	149
906	1445	148
907	1446	146
908	1448	145
909	1450	143
910	1451	141
911	1452	140
912	1454	138
913	1455	136
914	1457	135
915	1459	133
916	1460	132
917	1462	130
918	1463	129
919	1465	127
920	1466	125
921	1468	124
922	1469	122
923	1471	121
924	1472	119
925	1474	117
926	1475	116
927	1477	114
928	1478	113
929	1480	111
930	1481	109
931	1483	108
932	1486	106
933	1488	105
934	1489	103
935	1491	101
936	1492	100
937	1494	98
938	1495	97
939	1496	95
940	1498	93
941	1499	92
942	1501	90
943	1502	89
944	1504	87
945	1505	85
946	1506	84
947	1508	82
948	1509	81
949	1511	79
950	1512	77
951	1513	76
952	1515	74
953	1516	73
954	1518	71
955	1519	69
956	1520	68
957	1521	66
958	1523	65
959	1524	63
960	1526	61
961	1527	60
962	1528	58
963	1530	57
964	1531	55
965	1533	53
966	1534	52
967	1536	50
968	1537	49
969	1539	47
970	1540	46
971	1542	44
972	1543	42
973	1545	41
974	1547	39
975	1548	38
976	1549	36
977	1550	34
978	1552	33
979	1553	31
980	1555	30
981	1556	28
982	1557	26
983	1559	25
984	1561	23
985	1562	22
986	1563	20
987	1565	19
988	1566	17
989	1567	15
990	1568	14
991	1570	12
992	1571	11
993	1573	9
994	1575	7
995	1576	6
996	1577	4
997	1579	3
998	1580	1
999	1582	0
